id,planning_area_name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
11100204,Falkenberg West,7052,0.49799,,0.72992,0.67199,1.8999,0.64284,mittel,-0.15853
11100205,Wartenberg Süd,6095,0.57916,,0.83637,1.15742,2.57295,0.87057,mittel,0.16347
11100206,Wartenberg Nord,7609,1.12899,,1.11164,1.20134,3.44197,1.16461,niedrig,1.72867
11100307,Zingster Straße Ost,11690,0.8714,,0.69628,0.95174,2.51942,0.85246,mittel,0.56623
11100308,Zingster Straße West,9583,1.36226,,1.295,1.40115,4.05841,1.37319,niedrig,0.63433
11100309,Mühlengrund,5825,0.0165,,-0.02178,0.07736,0.07208,0.02439,mittel,-0.30926
11200410,Malchower Weg,9998,0.41407,,0.26787,0.41588,1.09782,0.37145,mittel,0.79693
11200411,Hauptstraße,6856,0.37672,,0.13706,0.1975,0.71128,0.24067,mittel,0.62735
11200512,Orankesee,3898,-1.00643,,-0.70579,-0.64729,-2.35951,-0.79835,mittel,-0.10739
11200513,Große-Leege-Straße,9897,0.12295,,0.18064,0.43265,0.73624,0.24911,mittel,-0.54917
11200514,Landsberger Allee,15296,0.56183,,0.34014,0.59224,1.49421,0.50557,mittel,1.0238
11200515,Weiße Taube,4125,-1.33948,,-1.17692,-1.16328,-3.67968,-1.24504,hoch,-1.13742
11300616,Hohenschönhausener Straße,6058,0.85137,,0.72721,1.46499,3.04357,1.02981,niedrig,-0.17762
11300617,Fennpfuhlpark,4292,0.54233,,0.0112,0.55875,1.11228,0.37635,mittel,0.24836
11300618,Storkower Bogen,3713,-0.32238,,-0.30991,0.11504,-0.51725,-0.17501,mittel,-0.07598
11300619,Rudolf-Seiffert-Park,8422,-0.22945,,-0.40377,-0.10242,-0.73564,-0.24891,mittel,-0.16128
11300620,Fennpfuhl Ost,11266,0.48986,,0.17442,0.34863,1.01291,0.34272,mittel,-0.13025
11300721,Herzbergstraße,5263,-0.4837,,-0.22194,-0.02911,-0.73475,-0.24861,mittel,-0.07965
11300722,Rathaus Lichtenberg,9901,-0.49091,,-0.46981,-0.6202,-1.58092,-0.53491,mittel,-0.51347
